Incident_ID,Report_Time,Phone_Number,Tags,Report_Count,Transaction_Amount,Victim_Demographic,Is_Fraud
UID-536df895,2026-03-12 17:22:00,+886-903-883-082,"假投資,保證獲利",9,4978846,上班族,1
UID-eb766a74,2026-03-13 03:13:00,+886-905-242-620,"債務不履行,退款延遲",2,3000,上班族,0
UID-b3924a2f,2026-03-13 03:39:00,+886-905-856-579,"交易糾紛,商品瑕疵",2,500,碩博士,0
UID-f2989416,2026-03-13 08:24:00,+886-905-907-583,"交易糾紛,商品瑕疵",1,15000,大專院校,0
UID-155f6257,2026-03-12 10:00:00,+886-905-399-641,"司法文書送達,正常公務",1,0,50-69 中高齡,0
UID-a71b331b,2026-03-13 03:24:00,+886-903-884-019,"假投資,虛擬貨幣,高報酬",17,2089280,50-69 中高齡,1
UID-df5b1dd6,2026-03-13 01:48:00,+886-904-224-014,"Threads廣告,假兼職",5,147508,大專院校,1
UID-53171271,2026-03-12 16:30:00,+886-903-886-026,"假投資,內線交易,VIP通道",6,507552,50-69 中高齡,1
UID-cd7b22b2,2026-03-12 19:01:00,+886-904-395-014,"殺豬盤,平台無法出金",29,144899,上班族,1
UID-a8c15a8e,2026-03-12 21:13:00,+886-904-656-028,"網路交友,要求儲值,點數卡",27,319,學生,1
UID-214f7a55,2026-03-13 02:53:00,+886-905-587-486,"交易糾紛,商品瑕疵",2,15000,大專院校,0
UID-e3919249,2026-03-13 02:34:00,+886-901-405-026,"網路購物詐騙,解除分期付款",209,32058,學生,1
UID-3fe1f0af,2026-03-12 19:23:00,+886-905-488-649,"債務不履行,退款延遲",2,0,上班族,0
UID-650060c0,2026-03-12 20:08:00,+886-903-887-039,"假投資,資金盤",16,3422251,大專院校,1
UID-e1622d68,2026-03-12 12:31:00,+886-904-579-052,"Threads廣告,假兼職",15,6535,學生,1
UID-fc3a7f82,2026-03-12 19:29:00,+886-902-185-645,"假扣押財產,面交黃金白銀",1,2687414,70+ 長者,1
UID-8d0e62d8,2026-03-13 03:14:00,+886-901-845-002,"幽靈包裹,超商取貨",167,26894,大專院校,1
UID-5313c5a0,2026-03-12 09:04:00,+886-902-118-247,"假員警,偵查不公開",3,2178218,70+ 長者,1
UID-ebf24f47,2026-03-12 10:01:00,+886-901-812-013,"網路購物詐騙,ATM操作",153,24288,高中職以下,1
UID-5cc86126,2026-03-13 05:27:00,+886-903-884-016,"假投資,內線交易,VIP通道",8,2406621,碩博士,1
UID-4d3aeb22,2026-03-12 19:56:00,+886-905-928-287,"交易糾紛,商品瑕疵",2,3000,學生,0
UID-0e906588,2026-03-12 09:02:00,+886-999-999-999,"機器人測試,惡意灌水",10953,0,未知,0
UID-1ce118df,2026-03-12 15:02:00,+886-903-883-090,"假投資,資金盤",18,838855,碩博士,1
UID-5e7e7eb6,2026-03-13 06:53:00,+886-903-889-091,"假投資,保證獲利",14,2483128,碩博士,1
UID-c5417ac5,2026-03-12 10:47:00,+886-903-886-069,"假投資,虛擬貨幣,高報酬",7,830900,大專院校,1
UID-d6a70562,2026-03-13 07:29:00,+886-901-813-041,"網路購物詐騙,解除分期付款",228,44151,高中職以下,1
UID-a1373639,2026-03-12 14:55:00,+886-905-685-272,"正常投資諮詢,理財規劃",2,500,高中職以下,0
UID-7e54bf50,2026-03-13 00:39:00,+886-901-993-024,"網路購物詐騙,ATM操作",193,4332,上班族,1
UID-16368090,2026-03-13 02:18:00,+886-902-135-946,"假冒郵局,普發現金冒領",1,2283437,70+ 長者,1
UID-65259216,2026-03-12 23:33:00,+886-901-225-045,"幽靈包裹,超商取貨",152,32731,上班族,1
UID-96c261bf,2026-03-12 20:44:00,+886-905-584-931,"司法文書送達,正常公務",2,3000,上班族,0
UID-2ec21e18,2026-03-13 01:58:00,+886-905-294-770,"債務不履行,退款延遲",1,500,學生,0
UID-93ed92af,2026-03-12 10:02:00,+886-902-175-299,"假冒郵局,普發現金冒領",2,3009342,70+ 長者,1
UID-a14749d4,2026-03-12 21:10:00,+886-903-884-072,"假投資,內線交易,VIP通道",18,1668788,50-69 中高齡,1
